table,line,geoid,geoname,geotype,name,state,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,has_charter,tot_est,tot_moe,p_adu_dvap_est,p_adu_dvap_moe
Place,31487,16000US0625436,"Fowler city, California",city,Fowler,California,4665,212,6085,181,4245,276,420,349,False,6525,26,0.09003215434083602,0.08266041246805687
Place,31565,16000US0626000,"Fremont city, California",city,Fremont,California,181815,1021,183920,1871,134905,1709,46910,1991,False,235740,69,0.25800951516651544,0.012469593653467503
Place,31617,16000US0627000,"Fresno city, California",city,Fresno,California,375795,1548,467340,2871,322900,2698,52895,3111,False,525010,257,0.14075493287563698,0.008894897316722605
Place,31682,16000US0628000,"Fullerton city, California",city,Fullerton,California,109130,1060,120160,1265,91005,1662,18125,1972,False,139610,66,0.1660863190690003,0.01987648281866511
Place,31721,16000US0628112,"Galt city, California",city,Galt,California,19220,387,23960,520,17350,601,1870,715,False,25990,35,0.09729448491155047,0.03996458162060053
Place,31747,16000US0628168,"Gardena city, California",city,Gardena,California,48050,593,49810,945,38525,1012,9525,1173,False,59710,41,0.19823100936524454,0.027194112323863484
Place,31786,16000US0629000,"Garden Grove city, California",city,Garden Grove,California,136210,983,147330,1322,111780,1576,24430,1858,False,173260,106,0.1793554070919903,0.015043640435500522
Place,31890,16000US0629504,"Gilroy city, California",city,Gilroy,California,40110,720,48945,988,32825,988,7285,1223,False,56765,38,0.18162552979306906,0.03436837728994693
Place,31903,16000US0630000,"Glendale city, California",city,Glendale,California,164850,999,163280,1762,131340,1783,33510,2044,False,200230,52,0.2032757051865332,0.01371412093598054
Place,31916,16000US0630014,"Glendora city, California",city,Glendora,California,39975,505,48080,632,36720,706,3255,869,False,51800,54,0.08142589118198874,0.023058527363742184
Place,31981,16000US0630378,"Goleta city, California",city,Goleta,California,24615,423,27290,573,21160,587,3455,724,False,30975,48,0.14036156814950235,0.032381487406053205
Place,31994,16000US0630392,"Gonzales city, California",city,Gonzales,California,5680,308,6170,332,3545,371,2135,483,False,8375,23,0.37588028169014087,0.11146149046175785
Place,32059,16000US0630658,"Grand Terrace city, California",city,Grand Terrace,California,10065,341,12035,224,9625,456,440,570,False,12510,31,0.04371584699453552,0.060150874519244814
Place,32124,16000US0630798,"Grass Valley city, California",city,Grass Valley,California,10485,372,12475,226,10070,464,415,595,False,12890,30,0.039580352885073916,0.06029109970070676
Place,32215,16000US0630994,"Greenfield city, California",city,Greenfield,California,11220,366,11145,630,5280,568,5940,676,False,17375,27,0.5294117647058824,0.08013310354545355
Place,32306,16000US0631260,"Gridley city, California",city,Gridley,California,4705,235,6140,172,4100,252,605,345,False,6745,26,0.12858660998937302,0.08394135421644353
Place,32358,16000US0631393,"Grover Beach city, California",city,Grover Beach,California,10495,285,12985,321,9945,458,550,540,False,13535,24,0.05240590757503573,0.054352172738382484
Place,32371,16000US0631414,"Guadalupe city, California",city,Guadalupe,California,5060,196,5265,407,3015,347,2045,399,False,7450,25,0.4041501976284585,0.09831690763469936
Place,32410,16000US0631568,"Gustine city, California",city,Gustine,California,4655,373,4785,375,3650,380,1005,533,False,5815,18,0.2158968850698174,0.1432810691571793
Place,32436,16000US0631708,"Half Moon Bay city, California",city,Half Moon Bay,California,10565,242,11420,415,9175,471,1390,530,False,12835,26,0.13156649313771887,0.05442595091924132
Place,32475,16000US0631960,"Hanford city, California",city,Hanford,California,40525,584,50770,831,35235,985,5290,1146,False,56475,47,0.13053670573719925,0.030600972337961607
Place,32579,16000US0632506,"Hawaiian Gardens city, California",city,Hawaiian Gardens,California,10455,328,10775,619,6995,620,3460,702,False,14335,30,0.33094213295074126,0.08003841410169282
Place,32592,16000US0632548,"Hawthorne city, California",city,Hawthorne,California,64765,935,70105,1085,49215,1361,15550,1652,False,87105,98,0.2400988188064541,0.029398282869873643
